
Going to calculate the following Fibonacci numbers (#:trials-number):
#0:1-10   #1:50-5   #2:40-43   #3:50-10   
Participating SHORTs:
#0:1366   #1:1367   #2:1368   #3:1369   
START PRINTING 150 SWITCHES:
===================================================================
     PREV-PID - NEXT-PID - PREV-POL - NEXT-POL -   TIME   -  REASON
134:    1369  |    1365  |    SHORT |       RT |  393078  | ENDED
135:    1365  |    1368  |       RT |    SHORT |  393078  | STARTED WAITING
136:    1368  |     988  |    SHORT |    OTHER |  393227  | OVERDUE
137:     988  |    1105  |    OTHER |    OTHER |  393227  | STARTED WAITING
138:    1105  |     988  |    OTHER |    OTHER |  393227  | HIGHER PRIO ARRIVED
139:     988  |    1105  |    OTHER |    OTHER |  393227  | STARTED WAITING
140:    1105  |     988  |    OTHER |    OTHER |  393227  | HIGHER PRIO ARRIVED
141:     988  |    1105  |    OTHER |    OTHER |  393227  | STARTED WAITING
142:    1105  |    1124  |    OTHER |    OTHER |  393227  | STARTED WAITING
143:    1124  |     988  |    OTHER |    OTHER |  393227  | HIGHER PRIO ARRIVED
144:     988  |    1124  |    OTHER |    OTHER |  393227  | STARTED WAITING
145:    1124  |     988  |    OTHER |    OTHER |  393227  | HIGHER PRIO ARRIVED
146:     988  |    1124  |    OTHER |    OTHER |  393227  | STARTED WAITING
147:    1124  |     427  |    OTHER |    OTHER |  393227  | STARTED WAITING
148:     427  |    1368  |    OTHER |    SHORT |  393227  | STARTED WAITING
149:    1368  |    1365  |    SHORT |       RT |  397265  | ENDED
===================================================================
END PRINT


Going to calculate the following Fibonacci numbers (#:trials-number):
#0:3-45   #1:1-5   #2:50-7   
Participating SHORTs:
#0:1371   #1:1372   #2:1373   
START PRINTING 150 SWITCHES:
===================================================================
     PREV-PID - NEXT-PID - PREV-POL - NEXT-POL -   TIME   -  REASON
  0:     427  |    1349  |    OTHER |    OTHER |  392912  | STARTED WAITING
  1:    1349  |    1359  |    OTHER |    OTHER |  392912  | STARTED WAITING
  2:    1359  |     427  |    OTHER |    OTHER |  392912  | STARTED WAITING
  3:     427  |    1359  |    OTHER |    OTHER |  392912  | STARTED WAITING
  4:    1359  |     427  |    OTHER |    OTHER |  392912  | STARTED WAITING
  5:     427  |    1359  |    OTHER |    OTHER |  392912  | STARTED WAITING
  6:    1359  |     427  |    OTHER |    OTHER |  392912  | STARTED WAITING
  7:     427  |    1359  |    OTHER |    OTHER |  392913  | STARTED WAITING
  8:    1359  |     427  |    OTHER |    OTHER |  392913  | STARTED WAITING
  9:     427  |    1359  |    OTHER |    OTHER |  392913  | STARTED WAITING
 10:    1359  |     427  |    OTHER |    OTHER |  392913  | STARTED WAITING
 11:     427  |    1359  |    OTHER |    OTHER |  392913  | STARTED WAITING
 12:    1359  |     427  |    OTHER |    OTHER |  392913  | STARTED WAITING
 13:     427  |    1359  |    OTHER |    OTHER |  392913  | STARTED WAITING
 14:    1359  |     427  |    OTHER |    OTHER |  392913  | STARTED WAITING
 15:     427  |    1359  |    OTHER |    OTHER |  392913  | STARTED WAITING
 16:    1359  |     427  |    OTHER |    OTHER |  392913  | STARTED WAITING
 17:     427  |    1359  |    OTHER |    OTHER |  392913  | STARTED WAITING
 18:    1359  |     427  |    OTHER |    OTHER |  392913  | STARTED WAITING
 19:     427  |     988  |    OTHER |    OTHER |  392914  | HIGHER PRIO ARRIVED
 20:     988  |     427  |    OTHER |    OTHER |  392914  | STARTED WAITING
 21:     427  |    1359  |    OTHER |    OTHER |  392914  | STARTED WAITING
 22:    1359  |     427  |    OTHER |    OTHER |  392914  | STARTED WAITING
 23:     427  |    1359  |    OTHER |    OTHER |  392914  | STARTED WAITING
 24:    1359  |     427  |    OTHER |    OTHER |  392914  | STARTED WAITING
 25:     427  |    1359  |    OTHER |    OTHER |  392914  | STARTED WAITING
 26:    1359  |     427  |    OTHER |    OTHER |  392914  | STARTED WAITING
 27:     427  |    1359  |    OTHER |    OTHER |  392914  | STARTED WAITING
 28:    1359  |     427  |    OTHER |    OTHER |  392914  | STARTED WAITING
 29:     427  |    1359  |    OTHER |    OTHER |  392914  | STARTED WAITING
 30:    1359  |     427  |    OTHER |    OTHER |  392914  | STARTED WAITING
 31:    1359  |    1349  |    OTHER |    OTHER |  393011  | ENDED
 32:    1349  |     427  |    OTHER |    OTHER |  393011  | STARTED WAITING
 33:     427  |    1349  |    OTHER |    OTHER |  393011  | STARTED WAITING
 34:    1349  |     427  |    OTHER |    OTHER |  393011  | STARTED WAITING
 35:     427  |    1349  |    OTHER |    OTHER |  393011  | STARTED WAITING
 36:    1349  |    1342  |    OTHER |    OTHER |  393011  | ENDED
 37:    1342  |    1360  |    OTHER |    OTHER |  393011  | STARTED WAITING
 38:    1360  |    1361  |    OTHER |    OTHER |  393011  | STARTED WAITING
 39:    1361  |     988  |    OTHER |    OTHER |  393015  | HIGHER PRIO ARRIVED
 40:     988  |    1361  |    OTHER |    OTHER |  393015  | STARTED WAITING
 41:    1361  |    1360  |    OTHER |    OTHER |  393019  | ENDED
 42:    1360  |    1362  |    OTHER |    OTHER |  393019  | STARTED WAITING
 43:    1362  |    1360  |    OTHER |    OTHER |  393021  | ENDED
 44:    1360  |    1363  |    OTHER |    OTHER |  393021  | STARTED WAITING
 45:    1363  |    1364  |    OTHER |    OTHER |  393021  | STARTED WAITING
 46:    1364  |    1363  |    OTHER |    OTHER |  393027  | ENDED
 47:    1363  |    1360  |    OTHER |    OTHER |  393027  | ENDED
 48:    1360  |    1342  |    OTHER |    OTHER |  393027  | ENDED
 49:    1342  |    1365  |    OTHER |    OTHER |  393027  | STARTED WAITING
 50:    1365  |    1366  |       RT |    SHORT |  393027  | STARTED WAITING
 51:    1366  |    1365  |    SHORT |       RT |  393027  | ENDED
 52:    1365  |    1367  |       RT |    SHORT |  393027  | STARTED WAITING
 53:    1367  |    1365  |    SHORT |       RT |  393027  | ENDED
 54:    1365  |    1368  |       RT |    SHORT |  393027  | STARTED WAITING
 55:    1368  |    1369  |    SHORT |    SHORT |  393078  | OUT OF TIME
 56:    1369  |    1365  |    SHORT |       RT |  393078  | ENDED
 57:    1365  |    1368  |       RT |    SHORT |  393078  | STARTED WAITING
 58:    1368  |     988  |    SHORT |    OTHER |  393227  | OVERDUE
 59:     988  |    1105  |    OTHER |    OTHER |  393227  | STARTED WAITING
 60:    1105  |     988  |    OTHER |    OTHER |  393227  | HIGHER PRIO ARRIVED
